Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.21,305,21,0.06885245901639345,21,0.06885245901639345,126168.69,413.6678360655738,1099,3.60327868852459,299,0.980327868852459,0,0.0,22,0.0,908966.5,2980.218032786885
s.20,344,24,0.06976744186046512,24,0.06976744186046512,153791.75,447.06904069767444,1258,3.6569767441860463,350,1.0174418604651163,0,0.0,16,0.0,914254.3,2657.7159883720933
s.19,350,31,0.08857142857142856,31,0.08857142857142856,164103.88,468.8682285714286,1348,3.8514285714285714,412,1.177142857142857,0,0.0,18,0.0,1155607.6,3301.7360000000003
s.18,362,29,0.08011049723756906,29,0.08011049723756906,162080.67,447.73665745856357,1384,3.8232044198895028,411,1.1353591160220995,0,0.0,20,0.0,748970.06,2068.9780662983426
s.17,362,40,0.11049723756906077,40,0.11049723756906077,188609.61,521.0210220994475,1636,4.519337016574585,486,1.3425414364640884,0,0.0,27,0.0,892266.0,2464.8232044198894
s.16,403,41,0.10173697270471464,41,0.10173697270471464,173368.66,430.19518610421835,1452,3.6029776674937963,421,1.0446650124069479,0,0.0,18,0.0,926201.44,2298.266600496278
