Season,Games,Wins,Wins_g,Top10s,Top10s_g,Damage,Damage_g,Kills,Kills_g,Headshots,Headshots_g,Assists,Assists_g,Most_Kills,Most_Kills_g,Distance,Distance_g
s.22,110,11,0.1,11,0.1,56965.816,517.8710545454545,498,4.527272727272727,183,1.6636363636363636,0,0.0,18,0.0,220590.47,2005.367909090909
s.21,243,16,0.06584362139917696,16,0.06584362139917696,99209.38,408.2690534979424,891,3.6666666666666665,288,1.1851851851851851,0,0.0,20,0.0,364631.75,1500.5421810699588
s.20,284,21,0.07394366197183098,21,0.07394366197183098,137754.03,485.0494014084507,1205,4.242957746478873,379,1.3345070422535212,0,0.0,18,0.0,520902.97,1834.1653873239436
s.19,258,12,0.046511627906976744,12,0.046511627906976744,117177.1,454.1748062015504,1061,4.112403100775194,331,1.2829457364341086,0,0.0,21,0.0,616806.44,2390.7226356589144
s.18,249,24,0.0963855421686747,24,0.0963855421686747,136608.56,548.6287550200803,1204,4.835341365461847,433,1.7389558232931728,0,0.0,20,0.0,549745.9,2207.8148594377512
s.17,439,33,0.07517084282460136,33,0.07517084282460136,223957.23,510.1531435079727,2013,4.585421412300684,619,1.4100227790432802,0,0.0,23,0.0,990724.5,2256.77562642369
